pmid,title,pub_year,pubtype,journal
34275313,[Lymphangiomatosis - very rare disease of the lymphatic vessels].,2021,Journal Article,Vnitrni lekarstvi
34269712,International patient group harnesses social media to help inform rare disease research: use of a low carbohydrate ketogenic diet in McArdle disease.,2021,Journal Article; Review,"Current opinion in endocrinology, diabetes, and obesity"
34259898,[Acne inversa: A rare disease with far-reaching consequences for those affected : Experiences and wishes of patients].,2021,Journal Article; Review,"Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete"
34258091,Cystic Echinococcosis of the Ilium Treated with Curettage and Microwave Thermoablation Followed by Bone Cement Installation: A Novel Treatment Technique for a Rare Disease.,2021,Case Reports; Journal Article,Case reports in orthopedics
34256816,Essential list of medicinal products for rare diseases: recommendations from the IRDiRC Rare Disease Treatment Access Working Group.,2021,"Journal Article; Research Support, N.I.H., Intramural; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
34231135,Implementing Outcomes-Based Managed Entry Agreements for Rare Disease Treatments: Nusinersen and Tisagenlecleucel.,2021,"Journal Article; Research Support, Non-U.S. Gov't",PharmacoEconomics
36684552,"Achondroplasia: Clinical, Radiological and Molecular Profile from Rare Disease Centre, India.",2023,Journal Article,Journal of pediatric genetics
34221485,Cor Triatriatum Sinistrum: A rare disease with a common presentation.,2021,Case Reports; Journal Article,Sultan Qaboos University medical journal
34214263,Fatal reversible cerebral vasoconstriction syndrome: An unusual presentation of a rare disease.,2021,Case Reports; Journal Article,Biomedica : revista del Instituto Nacional de Salud
34194147,Arteriovenous malformation of ureter presenting without hematuria: An unusual presentation of a rare disease.,2021,Case Reports; Journal Article,Urology annals
34183788,Can you hear us now? The impact of health-care utilization by rare disease patients in the United States.,2021,Journal Article,Genetics in medicine : official journal of the American College of Medical Genetics
34175234,Bilateral subtrochanteric femoral fracture due to a very rare disease: Pycnodisostosis.,2021,Case Reports; Journal Article,Revista espanola de cirugia ortopedica y traumatologia (English ed.)
34167164,Difficult scientific evaluation of rare disease management: Peutz-Jeghers syndrome.,2021,Journal Article,Endoscopy
34150204,Bronchopleural fistula in a 5- years old child with novel CARMIL 2 mutation: A rare disease and a rare case.,2021,Case Reports; Journal Article,Annals of medicine and surgery (2012)
34141647,"Actinomycotic Infection of Spine - A Rare Disease with Diagnostic Challenge, an Update on Spinal Infection.",2021,Case Reports; Journal Article,Journal of orthopaedic case reports
34137096,Emotional experience of the diagnostic process of a rare disease and the perception of support systems: A scoping review.,2022,Journal Article; Scoping Review,Journal of clinical nursing
34121454,"Two similar patient instances for a rare disease: ""Bronchitis plastica"".",2021,Journal Article,Asian cardiovascular & thoracic annals
34120169,Determining Cost-Optimal Next-Generation Sequencing Panels for Rare Disease and Pharmacogenomics Testing.,2021,"Journal Article; Research Support, Non-U.S. Gov't",Clinical chemistry
34117565,Modeling of levothyroxine in newborns and infants with congenital hypothyroidism: challenges and opportunities of a rare disease multi-center study.,2021,Journal Article; Multicenter Study,Journal of pharmacokinetics and pharmacodynamics
34107994,"Using four decades of FDA orphan drug designations to describe trends in rare disease drug development: substantial growth seen in development of drugs for rare oncologic, neurologic, and pediatric-onset diseases.",2021,Journal Article,Orphanet journal of rare diseases
34106504,"Iminosugar C-Glycosides Work as Pharmacological Chaperones of NAGLU, a Glycosidase Involved in MPS IIIB Rare Disease*.",2021,Journal Article,"Chemistry (Weinheim an der Bergstrasse, Germany)"
34105247,Acquired thrombotic thrombocytopenic purpura: A rare disease associated with BNT162b2 vaccine.,2021,Journal Article,Journal of thrombosis and haemostasis : JTH
34099526,Pearls & Oy-sters: POEMS Syndrome: An Eloquent Acronym for a Rare Disease You Don't Want to Miss.,2021,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Neurology
34091881,Capturing Data in Rare Disease Registries to Support Regulatory Decision Making: A Survey Study Among Industry and Other Stakeholders.,2021,Journal Article,Drug safety
34091302,Madelung-type deformity in a female individual from the Merovingian Period in Central Germany: A rare finding or a rare disease?,2021,Case Reports; Journal Article,International journal of paleopathology
34089579,Skull Base Primary Ewing Sarcoma: A Radiological Experience of a Rare Disease in an Atypical Location.,2021,Case Reports; Journal Article,The American journal of case reports
34085867,Ethics and equity in rare disease research and healthcare.,2021,Journal Article,Personalized medicine
34082191,A critical review of the anthropological and paleopathological literature on osteopetrosis as an ancient rare disease (ARD).,2021,Journal Article; Review,International journal of paleopathology
34068769,Targeting Lyn Kinase in Chorea-Acanthocytosis: A Translational Treatment Approach in a Rare Disease.,2021,Journal Article,Journal of personalized medicine
34057965,Dyskeratosis congenita: A case report on a rare disease.,2021,Case Reports; Journal Article,JPMA. The Journal of the Pakistan Medical Association
34057393,An analysis of member retention patterns for adult rare disease cohorts to support evaluating multiyear payment arrangements for novel therapies.,2021,Journal Article,Journal of managed care & specialty pharmacy
34053399,Design and analysis of drop-the-losers studies using binary endpoints in the rare disease setting.,2021,Journal Article,Journal of biopharmaceutical statistics
34044899,Examining the impact of different country processes for appraising rare disease treatments: a case study analysis.,2021,Journal Article,International journal of technology assessment in health care
34042849,A Medical Report Feature for OSSE Rare Disease Registries.,2021,Journal Article,Studies in health technology and informatics
34042646,Identification of Similar Patients Through Medical Concept Embedding from Electronic Health Records: A Feasibility Study for Rare Disease Diagnosis.,2021,Journal Article,Studies in health technology and informatics
34019647,CNVxplorer: a web tool to assist clinical interpretation of CNVs in rare disease patients.,2021,"Journal Article; Research Support, Non-U.S. Gov't",Nucleic acids research
34007379,Optic pathway gliosarcoma: A very rare location for a rare disease.,2021,Case Reports; Journal Article,Radiology case reports
34004001,Tackling the Challenges of Product Development Through a Collaborative Rare Disease Network: The Foundation Fighting Blindness Consortium.,2021,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Translational vision science & technology
34003484,Criteria and Scoring Functions Used in Multi-criteria Decision Analysis and Value Frameworks for the Assessment of Rare Disease Therapies: A Systematic Literature Review.,2021,Systematic Review; Journal Article,PharmacoEconomics - open
33996357,Clinical manifestation and genetic analysis of familial rare disease genodermatosis xeroderma pigmentosum.,2021,Case Reports; Journal Article,Intractable & rare diseases research
33989087,The multiple stakeholder approach to real-world evidence (RWE) generation: observing multidisciplinary expert consensus on quality indicators of rare disease patient registries (RDRs).,2021,Journal Article,Current medical research and opinion
33984627,Thundering hoofbeats and dazzling zebras: A model integrating current rare disease perspectives in paleopathology.,2021,Journal Article; Review,International journal of paleopathology
33981583,Metastatic urothelial carcinoma of the bladder with sarcomatoid differentiation showing large cell neuroendocrine transformation in the liver; an unusual behaviour of a rare disease.,2021,Case Reports; Journal Article,Urology case reports
33976678,Mitochondrial Neurogastrointestinal Encephalopathy Disease: A Rare Disease Diagnosed in Siblings with Double Vision.,2021,Case Reports; Journal Article,Case reports in ophthalmology
33973225,[The utility of whole genome sequencing in rare disease diagnostics].,2021,Journal Article,Lakartidningen
33971926,Validating online approaches for rare disease research using latent class mixture modeling.,2021,"Journal Article; Research Support, N.I.H., Extramural",Orphanet journal of rare diseases
33971915,Rare disease patient matchmaking: development and outcomes of an internet case-finding strategy in the Undiagnosed Diseases Network.,2021,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
33965931,Enabling FAIR Discovery of Rare Disease Digital Resources.,2021,Journal Article,Studies in health technology and informatics
33957984,Evaluating the impact of COVID-19 on rare disease support groups.,2021,Journal Article,BMC research notes
33955634,Carer reported experiences: Supporting someone with a rare disease.,2022,"Journal Article; Research Support, Non-U.S. Gov't",Health & social care in the community
33938838,"Anaesthetic challenges in pulmonary alveolar microlithiasis - a rare disease treated with bilateral lung transplantation, first case from India.",2021,Case Reports; Journal Article,Annals of cardiac anaesthesia
33933089,"How to design a registry for undiagnosed patients in the framework of rare disease diagnosis: suggestions on software, data set and coding system.",2021,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
33929124,Unexpected condition in a rare disease: encephalopathy in early-onset sarcoidosis.,2021,Case Reports; Journal Article,The Turkish journal of pediatrics
33922785,Cesarean Scar Pregnancy Treated by Artery Embolization Combined with Diode Laser: A Novel Approach for a Rare Disease.,2021,Case Reports; Journal Article,"Medicina (Kaunas, Lithuania)"
33915007,Rhinofacial conidiobolomycosis: Clinical and microbiological characterisation and shift in the management of a rare disease.,2021,Journal Article,Mycoses
33899204,Tumoral calcinosis: a rare disease.,2021,Journal Article,La Tunisie medicale
33889847,A Case Report of Wound Botulism - Rare Disease on the Rise with the Opioid Crisis.,2021,Case Reports; Journal Article,Hawai'i journal of health & social welfare
33853814,Acute heart failure: on the track of a rare disease.,2021,Case Reports; Journal Article,BMJ case reports
33849615,Rare disease awareness and perspectives of physicians in China: a questionnaire-based study.,2021,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
33844113,Sinonasal mucosal melanoma: treatment strategies and survival rates for a rare disease entity : A single center experience and review of literature.,2021,Journal Article; Review,Wiener klinische Wochenschrift
33831522,Epithelioid Angiosarcoma of the Popliteal Artery- Primary or Secondary? A Rare Disease Entity Difficult to Diagnose and Easily Overlooked-Literature Research and Case report.,2021,Case Reports; Journal Article; Review,Annals of vascular surgery
33830191,Rare disease + lots of sequencing = mechanism?,2021,Journal Article; Comment,Blood
33827785,They SHALL grow old: a UK rare disease clinical network for adult congenital thoracic malformations.,2021,Editorial,Archives of disease in childhood
33827602,Data silos are undermining drug development and failing rare disease patients.,2021,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
33800765,Pulmonary Vein Stenosis: A Rare Disease with a Global Reach.,2021,Journal Article,"Children (Basel, Switzerland)"
33786404,Asymmetric optic disc edema in a young patient with POEMS: A rare presentation of a rare disease.,2021,Case Reports; Journal Article,American journal of ophthalmology case reports
33779572,Global Collaborative Social Network (Share4Rare) to Promote Citizen Science in Rare Disease Research: Platform Development Study.,2021,Journal Article,JMIR formative research
33774637,Extrapulmonary Small Cell Cancer: A New Insight into a Rare Disease.,2021,Journal Article,Oncology
33752678,Correction to: A guide to writing systematic reviews of rare disease treatments to generate FAIRcompliant datasets: building a Treatabolome.,2021,Published Erratum,Orphanet journal of rare diseases
33738760,Rare disease care pathways in the EU: from odysseys and labyrinths towards highways.,2021,Journal Article,Journal of community genetics
33732420,Primary renal lymphoma: unique presentation in a rare disease.,2021,Case Reports; Journal Article,Journal of surgical case reports
33726816,Integration of whole genome sequencing into a healthcare setting: high diagnostic rates across multiple clinical entities in 3219 rare disease patients.,2021,"Journal Article; Research Support, Non-U.S. Gov't",Genome medicine
33724530,Is Adult-Onset Dystonia a Rare Disease? Time for Population-Based Studies.,2021,Journal Article,Movement disorders : official journal of the Movement Disorder Society
33716595,Learning from the Pandemic to Improve Care for Vulnerable Communities: The Perspectives and Recommendations from the Rare Disease Community.,2021,Editorial,International journal of integrated care
33692051,Fumarate hydratase-deficient renal cell carcinoma presenting as pelvicalyceal filling defect: an unusual presentation of a rare disease.,2021,Case Reports; Journal Article,BMJ case reports
33673852,A thematic study: impact of COVID-19 pandemic on rare disease organisations and patients across ten jurisdictions in the Asia Pacific region.,2021,Journal Article,Orphanet journal of rare diseases
33664048,Cerebral amyloid angiopathy-related inflammation: a rare disease that needs to be diagnosed.,2021,Case Reports; Journal Article,BMJ case reports
33659111,Ileo-Colonic Fistula Due to Diffuse Large B Cell Lymphoma: Unusual Presentation of a Rare Disease.,2021,Case Reports; Journal Article,Cureus
33640559,What is a rare disease in animal paleopathology?,2021,Journal Article,International journal of paleopathology
33634575,Intraductal papillary neoplasm of the bile duct with situs inversus: a rare disease with a rare anatomical anomaly.,2021,Journal Article,ANZ journal of surgery
33632267,Unmasked: an insight into three patients' rare disease experiences during the COVID-19 pandemic.,2021,Letter,Orphanet journal of rare diseases
33620617,ASO Author Reflections: Breast Angiosarcoma-A Rare Disease with a Lot of Uncertainty.,2021,Journal Article,Annals of surgical oncology
33619134,Recurrent perineal aggressive angiomyxoma: dilemma in diagnosis and outcome of this rare disease.,2021,Case Reports; Journal Article,BMJ case reports
33605065,Right atrial cardiac angiosarcoma treated with concurrent proton beam therapy and paclitaxel: A novel approach to a rare disease.,2021,Case Reports; Journal Article,Thoracic cancer
33587199,Primary breast tuberculosis: imaging findings of a rare disease.,2021,Journal Article; Review,Insights into imaging
33567219,"An Overview of Benefits and Challenges of Rare Disease Biobanking in Africa, Focusing on South Africa.",2021,Journal Article; Review,Biopreservation and biobanking
33546736,Results of a Patient Reported Experience Measure (PREM) to measure the rare disease patients and caregivers experience: a Spanish cross-sectional study.,2021,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
33545026,Recognizing those who deal with rare disease every day.,2021,Editorial; Comment,American journal of human genetics
33543803,Expanding the Spectrum of AP5Z1-Related Hereditary Spastic Paraplegia (HSP-SPG48): A Multicenter Study on a Rare Disease.,2021,"Letter; Multicenter Study; Research Support, Non-U.S. Gov't",Movement disorders : official journal of the Movement Disorder Society
33538364,Challenging diagnosis and rare disease in children: Dermatitis artefacta.,2021,Case Reports; Journal Article,Journal of paediatrics and child health
33538294,Machine learning application for patient stratification and phenotype/genotype investigation in a rare disease.,2021,Journal Article,Briefings in bioinformatics
33538197,Thoracic endometriosis presented as catamental hemoptysis: a case series of a rare disease.,2021,"Journal Article; Research Support, Non-U.S. Gov't",Current medical research and opinion
33535881,Common presentation: Rare disease: Adult Langerhans cell histiocytosis.,2021,Case Reports; Journal Article,Tropical doctor
33526087,The practice of active patient involvement in rare disease research using ICT: experiences and lessons from the RUDY JAPAN project.,2021,Journal Article,Research involvement and engagement
33504323,Uncommon manifestations of a rare disease: a case of autoimmune GFAP astrocytopathy.,2021,Case Reports; Journal Article,BMC neurology
33492861,Metastatic Adamantinoma of the Femur on FDG PET/CT: Atypical Presentation of a Rare Disease.,2021,Case Reports; Journal Article,Clinical nuclear medicine
33471065,Pyoderma Gangrenosum: A Rare Disease With Dire Consequences in Facial Aesthetic Surgery Patients.,2021,Case Reports; Journal Article,Aesthetic surgery journal
33447119,"Deriving Vignettes for the Rare Disease AADC Deficiency Using Parent, Caregiver and Clinician Interviews to Evaluate the Impact on Health-Related Quality of Life.",2021,Journal Article,Patient related outcome measures
33439352,Flank pain and gross hematuria: an uncommon presentation of a rare disease: Answers.,2021,Journal Article,"Pediatric nephrology (Berlin, Germany)"
33439351,Flank pain and gross hematuria: an uncommon presentation of a rare disease: Questions.,2021,Journal Article,"Pediatric nephrology (Berlin, Germany)"
33431446,Bartholin gland carcinoma in a young female: a rare disease in an unusual age group.,2021,Case Reports; Journal Article,BMJ case reports
33429040,Cell preservation methods and its application to studying rare disease.,2021,"Journal Article; Research Support, Non-U.S. Gov't; Review",Molecular and cellular probes
33426176,Reply to: Fatal Familial Insomnia: A Rare Disease with Unique Clinico-Neurophysiological Features.,2021,Journal Article,Movement disorders clinical practice
33426175,Fatal Familial Insomnia: A Rare Disease with Unique Clinico-Neurophysiological Features.,2021,Journal Article,Movement disorders clinical practice
33422370,Pott's puffy tumor in a 23-month-old: Youngest known case of a rare disease.,2022,Case Reports; Journal Article; Review,"Auris, nasus, larynx"
33392748,Diagnosis for Wilson disease: this disease may not be a rare disease.,2021,Editorial; Comment,Journal of gastroenterology
33375998,Lessons from an Experiential Approach to Patient Community Engagement in Rare Disease.,2021,"Journal Article; Research Support, Non-U.S. Gov't",Clinical therapeutics
33369053,Premature or nevoid sebaceous hyperplasia? Two case reports of a rare disease.,2021,Case Reports; Journal Article,Journal of cosmetic dermatology
33368180,A rare disease and education: Neurofibromatosis type 1 decreases educational attainment.,2021,"Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't",Clinical genetics
33346319,"A proposal of rehabilitative approach in the rare disease ""De Barsy Syndrome"": case report.",2021,Case Reports; Journal Article,La Clinica terapeutica
33316300,Elucidation of molecular pathogenesis and drug development for psychiatric disorders from rare disease-susceptibility variants.,2021,Journal Article; Review,Neuroscience research
33294092,Pseudomyxoma pleurii: unusual location of a rare disease.,2021,Case Reports; Journal Article,Radiology case reports
33244164,A state-based approach to genomics for rare disease and population screening.,2021,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Genetics in medicine : official journal of the American College of Medical Genetics
33197725,Hepatic lobe torsion: A rare disease necessitating surgical management.,2021,Case Reports; Journal Article,Clinical imaging
33159724,[Creutzfeldt-Jakob Disease: Atypical Presentation of a Very Rare Disease].,2021,Case Reports; Journal Article,Acta medica portuguesa
33070806,Aorto-left ventricular tunnel: case series of a rare disease.,2021,Journal Article,Cardiology in the young
33051127,Effective provider-patient communication of a rare disease diagnosis: A qualitative study of people diagnosed with schwannomatosis.,2021,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",Patient education and counseling
33017829,Leukemic Phase of Histiocytic Sarcoma of the Digestive System: A Rare Manifestation of a Rare Disease.,2021,Case Reports; Journal Article,Acta haematologica
33008662,"Re: Alison Birtle, Mark Johnson, John Chester, et al. Adjuvant Chemotherapy in Upper Tract Urothelial Carcinoma (the POUT Trial): A Phase 3, Open-label, Randomised Controlled Trial. Lancet 2020;395:1268-77: A New Standard for a Rare Disease? Optimizing the Timing of Chemotherapy for Upper Tract Urothelial Carcinoma.",2021,Letter; Comment,European urology
33000299,Radiation-induced toxicities and outcomes after radiotherapy are independent of patient age in elderly salivary gland cancer patients: results from a matched-pair analysis of a rare disease.,2021,Journal Article,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery
32974874,Accelerating Rare Disease Drug Development: Lessons Learned from Muscular Dystrophy Patient Advocacy Groups.,2021,Journal Article,Therapeutic innovation & regulatory science
32916720,IgG4-related sclerosing cholangitis presenting as an isolated intrahepatic stenosis: a rare presentation of a rare disease.,2021,Case Reports; Journal Article,Endoscopy
32805742,Expanded access: opening doors to personalized medicine for rare disease patients and patients with neurodegenerative diseases.,2021,"Journal Article; Research Support, N.I.H., Extramural; Review",The FEBS journal
32734302,An Infant with Acute Bloody Diarrhea and Gastrointestinal Basidiobolomycosis: An Unusual Presentation of a Rare Disease.,2021,Case Reports; Journal Article,Journal of tropical pediatrics
32685989,Wild-type transthyretin cardiac amyloidosis: When is a rare disease no longer a rare disease?,2021,Editorial,Journal of nuclear cardiology : official publication of the American Society of Nuclear Cardiology
32611674,Propensity Score Methods in Rare Disease: A Demonstration Using Observational Data in Systemic Lupus Erythematosus.,2021,"Journal Article; Research Support, Non-U.S. Gov't; Review",The Journal of rheumatology
32084076,Mutilating Arthritis: A Typical Manifestation of a Rare Disease.,2021,Journal Article,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases
37706079,"Atypical Presentation of Tubulointerstitial Nephritis and Uveitis Syndrome, a Rare Disease.",2023,Case Reports; Journal Article,Journal of vitreoretinal diseases
37197245,Long Tubular Duplication of the Small Intestine - Lessons Learnt from a Common Presentation of a Rare Disease.,2023,Case Reports; Journal Article,Journal of Indian Association of Pediatric Surgeons
37180411,Building cross-border collaborations to increase diversity and accelerate rare disease drug development - meeting report from the inaugural IndoUSrare Annual Conference 2021.,2022,Journal Article; Review,Therapeutic advances in rare disease
36962798,Rare disease patients in India are rarely involved in international orphan drug trials.,2022,Journal Article,PLOS global public health
36860634,Acute Kidney Injury Associated with Severe Hypouricemia Caused By a Novel,2022,Journal Article,Journal of translational internal medicine
36856400,Eosinophilic pustular folliculitis in infancy: a rare disease.,2022,Journal Article,European journal of dermatology : EJD
36818797,Localised colonic AL amyloidosis: a rare manifestation of a rare disease.,2023,Case Reports; Journal Article,Frontline gastroenterology
36776767,Identifying Missing IS-A Relations in Orphanet Rare Disease Ontology.,2022,Journal Article,Proceedings. IEEE International Conference on Bioinformatics and Biomedicine
36776198,Spindle Cell Carcinoma Arising in Xeroderma Pigmentosum-A Rare Tumour in a Rare Disease.,2023,Journal Article,Indian dermatology online journal
36684907,Obstacles and expectations of rare disease patients and their families in Türkiye: ISTisNA project survey results.,2022,"Journal Article; Research Support, Non-U.S. Gov't",Frontiers in public health
36627905,"Formulary Submissions: Value Claims, Protocols and Outcomes Based Contracting in Rare Disease.",2022,Journal Article,Innovations in pharmacy
36609126,Commentary: Complexity in rare disease: A look at surgical outcomes in tracheobronchial adenoid cystic carcinoma.,2023,Editorial; Comment,The Journal of thoracic and cardiovascular surgery
36569465,UMOD and you! Explaining a rare disease diagnosis.,2022,Journal Article; Review,"Journal of rare diseases (Berlin, Germany)"
36546889,Severe Congenital Neutropenia Type 4: A Rare Disease Harboring a G6pc3 Gene Pathogenic Variant Particular to the Mexican Population.,2022,Journal Article,Revista de investigacion clinica; organo del Hospital de Enfermedades de la Nutricion
36542763,HTA challenges for appraising rare disease interventions viewed through the lens of an institutional multidimensional value framework.,2023,Review; Journal Article,Expert review of pharmacoeconomics & outcomes research
36542454,Perspectives of Rare Disease Social Media Group Participants on Engaging With Genetic Counselors: Mixed Methods Study.,2022,Journal Article,Journal of medical Internet research
36536417,Rare disease education in Europe and beyond: time to act.,2022,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
36535757,[Cholangiocarcinome: successes and pitfalls of personalized medicine for a rare disease].,2022,Editorial,Bulletin du cancer
36525716,Low grade serous ovarian cancer - A rare disease with increasing therapeutic options.,2023,Journal Article; Review,Cancer treatment reviews
36525519,Brother of Cure Rare Disease CEO Dies in Trial of Duchenne Muscular Dystrophy Therapy.,2022,News,Human gene therapy
36523233,Needs of informal caregivers of people with a rare disease: a rapid review of the literature.,2022,"Review; Journal Article; Research Support, Non-U.S. Gov't",BMJ open
36517834,Towards FAIRification of sensitive and fragmented rare disease patient data: challenges and solutions in European reference network registries.,2022,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
36494514,Can a New Comprehensive Treatment Approach Bring Dawn to Patients with Rare Disease.,2023,Letter,Indian journal of pediatrics
36479405,An Unusual Presentation of a Rare Disease: Eosinophilic Fasciitis.,2022,Case Reports; Journal Article,Cureus
36476402,Rare disease therapeutics: The future of medical genetics in a changing landscape.,2023,Editorial,Genetics in medicine : official journal of the American College of Medical Genetics
36463940,Phenotypic and genotypic correlation evaluation of 148 pediatric patients with Fanconi anemia in a Chinese rare disease cohort.,2023,Journal Article,Clinica chimica acta; international journal of clinical chemistry
36461745,Until My Son Calls Me Dad: Quest to Find a Treatment for Ultra-Rare Disease.,2022,Journal Article,Journal of clinical pharmacology
36461743,Bayesian Complex Innovative Trial Designs (CIDs) and Their Use in Drug Development for Rare Disease.,2022,"Review; Journal Article; Research Support, Non-U.S. Gov't",Journal of clinical pharmacology
36461741,"Think Rare, Think Inside and Out: Simple Question-Based Approach to Complex Rare Disease Drug Development.",2022,Journal Article,Journal of clinical pharmacology
36461740,Bridging the Gap With Clinical Pharmacology in Innovative Rare Disease Treatment Modalities: Targeting DNA to RNA to Protein.,2022,Review; Journal Article,Journal of clinical pharmacology
36455827,Approaches to the Assessment of Clinical Benefit of Treatments for Conditions That Have Heterogeneous Symptoms and Impacts: Potential Applications in Rare Disease.,2023,"Review; Journal Article; Research Support, U.S. Gov't, P.H.S.; Research Support, N.I.H., Extramural",Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research
36450799,A second look at exome sequencing data: detecting mobile elements insertion in a rare disease cohort.,2023,Journal Article,European journal of human genetics : EJHG
36429893,Health Policies for Rare Disease Patients: A Scoping Review.,2022,Journal Article; Scoping Review,International journal of environmental research and public health
36415240,Fabry disease in South and Central Asia: Is it truly a rare disease or underappreciated?,2022,Journal Article,Pakistan journal of medical sciences
36412352,Eosinophilic gastroenteritis: A case series of a rare disease from an apex Tertiary Care Center in South India.,2022,Journal Article,Annals of African medicine
36384545,"""I don't think people are ready to trust these algorithms at face value"": trust and the use of machine learning algorithms in the diagnosis of rare disease.",2022,"Journal Article; Research Support, Non-U.S. Gov't",BMC medical ethics
36376793,Combining genetic constraint with predictions of alternative splicing to prioritize deleterious splicing in rare disease studies.,2022,Journal Article,BMC bioinformatics
36375589,Incidence of Sturge-Weber Syndrome and Risk of Secondary Glaucoma: A Nationwide Population-based Study Using a Rare Disease Registry.,2023,"Journal Article; Research Support, Non-U.S. Gov't",American journal of ophthalmology
36362761,"Multicentric Reticulohistiocytosis Associated with an Early Form of Systemic Lupus Erythematosus: A Case Report of a Rare Disease, with Mini Review of the Literature.",2022,Journal Article; Review,Journal of clinical medicine
36347981,Drug pipeline 3Q22 - rare disease and Alzheimer's treatments.,2022,News,Nature biotechnology
36344503,Specialist multidisciplinary input maximises rare disease diagnoses from whole genome sequencing.,2022,"Journal Article; Research Support, Non-U.S. Gov't",Nature communications
36339196,Rare disease emerging as a global public health priority.,2022,"Journal Article; Review; Research Support, Non-U.S. Gov't",Frontiers in public health
36332610,Care4Rare Canada: Outcomes from a decade of network science for rare disease gene discovery.,2022,"Journal Article; Review; Research Support, Non-U.S. Gov't",American journal of human genetics
36331592,[Towards better rare disease care and research].,2022,Editorial,"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz"
36316575,Framework for Patient Experience Value Elements in Rare Disease: A Case Study Demonstrating the Applicability of Combined Qualitative and Quantitative Methods.,2023,Journal Article,PharmacoEconomics - open
36307981,'Advocacy groups are the connectors': Experiences and contributions of rare disease patient organization leaders in advanced neurotherapeutics.,2022,Journal Article,Health expectations : an international journal of public participation in health care and health policy
36303170,Sharing is caring: a call for a new era of rare disease research and development.,2022,Journal Article,Orphanet journal of rare diseases
36300768,Tuberous Sclerosis: A Rare Disease with an Orphan Complex.,2022,Journal Article,Irish medical journal
36292592,Rare Disease Education Outside of the Classroom and Clinic: Evaluation of the RARE Compassion Program for Undergraduate Medical Students.,2022,"Journal Article; Research Support, Non-U.S. Gov't",Genes
36284639,Hereditary thrombotic thrombocytopenic purpura and COVID-19: Impacts of vaccination and infection in this rare disease.,2022,Journal Article,Research and practice in thrombosis and haemostasis
36281347,Aseptic meningitis in Kikuchi-Fujimoto Disease - Rare manifestation of a rare disease.,2022,Case Reports; Journal Article,eNeurologicalSci
36279794,The social value of genomic sequencing for disadvantaged families facing rare disease.,2022,"Journal Article; Research Support, N.I.H., Extramural",Social science & medicine (1982)
36257483,Deep learning for rare disease: A scoping review.,2022,"Journal Article; Research Support, N.I.H., Extramural; Scoping Review",Journal of biomedical informatics
36254150,Case report: Langerhans cell histiocytosis of the temporal bone in children: Challenging diagnosis of a rare disease with some pitfalls.,2022,Case Reports; Journal Article,Clinical case reports
36249759,Real-world use of orphan medicinal products (OMPs) in rare disease (RD) patients: A population-based registry study.,2022,Journal Article,Frontiers in pharmacology
36248623,The precision medicine process for treating rare disease using the artificial intelligence tool mediKanren.,2022,Journal Article,Frontiers in artificial intelligence
36217098,Improving Interpretation of Evidence Relating to Quality of Life in Health Technology Assessments of Rare Disease Treatments.,2023,"Journal Article; Research Support, Non-U.S. Gov't",The patient
36216418,Positioning whole exome sequencing in the diagnostic pathway for rare disease to optimise utility: a protocol for an observational cohort study and an economic evaluation.,2022,"Journal Article; Research Support, Non-U.S. Gov't",BMJ open
36210847,Remodeling an existing rare disease registry to be used in regulatory context: Lessons learned and recommendations.,2022,Journal Article,Frontiers in pharmacology
36209221,Record linkage based patient intersection cardinality for rare disease studies using Mainzelliste and secure multi-party computation.,2022,"Journal Article; Research Support, Non-U.S. Gov't",Journal of translational medicine
36209113,"Rare disease curative care expenditure-financing scheme-health provider-beneficiary group analysis: an empirical study in Sichuan Province, China.",2022,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
36202396,Splenic Abscesses in Endocarditis: A Rare Disease with High Mortality. The Experience of a Heart Institute in Brazil.,2022,Journal Article,Journal of investigative surgery : the official journal of the Academy of Surgical Research
