ORPHAcode,Preferred term,Typology,PrevalenceType,ValMoy,PrevalenceClass,PrevalenceQualification,PrevalenceGeographic,PrevalenceValidationStatus,Source
3258,Cenani-Lenz syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
276575,Autosomal dominant hyperinsulinism due to SUR1 deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3262,Dobrow syndrome,Malformation syndrome,Cases/families,2.0,,Case(s),Worldwide,Validated,6580396[PMID]_15365455[PMID]
3262,Dobrow syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_6580396[PMID]_15365455[PMID]
276598,Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
276608,Non-insulinoma pancreatogenous hypoglycemia syndrome,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3265,Isolated humero-radial synostosis,Morphological anomaly,Cases/families,150.0,,Case(s),Worldwide,Validated,ORPHANET
3265,Isolated humero-radial synostosis,Morphological anomaly,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
276603,Diazoxide-resistant focal hyperinsulinism due to Kir6.2 deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3266,Isolated humero-radio-ulnar synostosis,Morphological anomaly,Cases/families,30.0,,Case(s),Worldwide,Validated,ORPHANET
3266,Isolated humero-radio-ulnar synostosis,Morphological anomaly,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
276621,Sporadic pheochromocytoma/secreting paraganglioma,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
183713,OBSOLETE:Bacterial susceptibility due to TLR signaling pathway deficiency,Disease,Cases/families,24.0,,Case(s),Worldwide,Validated,[EXPERT]
183713,OBSOLETE:Bacterial susceptibility due to TLR signaling pathway deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
2380,Legg-Calvé-Perthes disease,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
276630,Symptomatic form of Coffin-Lowry syndrome in female carriers,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3270,Radioulnar synostosis-developmental delay-hypotonia syndrome,Malformation syndrome,Cases/families,4.0,,Case(s),Worldwide,Validated,1384331[PMID]_18618994[PMID]
3270,Radioulnar synostosis-developmental delay-hypotonia syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_1384331[PMID]_18618994[PMID]
3275,Spondylocarpotarsal synostosis,Malformation syndrome,Cases/families,35.0,,Case(s),Worldwide,Validated,29566257[PMID]
3275,Spondylocarpotarsal synostosis,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_29566257[PMID]
425,Apolipoprotein A-I deficiency,Disease,Cases/families,30.0,,Family(ies),Worldwide,Validated,17991756[PMID]
425,Apolipoprotein A-I deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
425,Apolipoprotein A-I deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Europe,Validated,European Medicines Agency 2014[INST]
3291,Teebi-Shaltout syndrome,Malformation syndrome,Cases/families,5.0,,Case(s),Worldwide,Validated,23918592[PMID]
3291,Teebi-Shaltout syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_23918592[PMID]
3293,Telecanthus-hypertelorism-strabismus-pes cavus syndrome,Malformation syndrome,Cases/families,2.0,,Case(s),Worldwide,Validated,3970067[PMID]
3293,Telecanthus-hypertelorism-strabismus-pes cavus syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_3970067[PMID]
3292,Tel Hashomer camptodactyly syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Europe,Not yet validated,ORPHANET
279882,Spasmus nutans,Clinical syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
3294,Extensor tendons of finger anomalies,Malformation syndrome,Cases/families,2.0,,Case(s),Worldwide,Validated,7363507[PMID]
3294,Extensor tendons of finger anomalies,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_7363507[PMID]
279888,Acute endophthalmitis,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
279891,Chronic endophthalmitis,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
897,Waardenburg-Shah syndrome,Disease,Cases/families,100.0,,Case(s),Worldwide,Validated,Dr Véronique PINGAULT[EXPERT]
897,Waardenburg-Shah syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
3301,Tetraamelia-multiple malformations syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_20301453[PMID]
3301,Tetraamelia-multiple malformations syndrome,Malformation syndrome,Cases/families,5.0,,Family(ies),Worldwide,Validated,20301453[PMID]
279897,Primary oculocerebral lymphoma,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
279904,Primary intraocular lymphoma,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3027,Caudal regression syndrome,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
3027,Caudal regression syndrome,Malformation syndrome,Prevalence at birth,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
3027,Caudal regression syndrome,Malformation syndrome,Prevalence at birth,1.75,1-9 / 100 000,Value and class,Australia,Validated,20734338[PMID]
3312,Thalidomide embryopathy,Malformation syndrome,Point prevalence,0.77,1-9 / 1 000 000,Value and class,Worldwide,Not yet validated,ORPHANET
279914,Intermediate uveitis,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
643,Giant axonal neuropathy,Disease,Cases/families,50.0,,Family(ies),Worldwide,Validated,20301315[PMID]
643,Giant axonal neuropathy,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET_20301315[PMID]
276193,Spinocerebellar ataxia type 35,Disease,Cases/families,28.0,,Case(s),Worldwide,Validated,30229425[PMID]
276193,Spinocerebellar ataxia type 35,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_[EXPERT]
276183,Spinocerebellar ataxia type 32,Disease,Cases/families,1.0,,Family(ies),Worldwide,Validated,Jiang_Zhu_Gomez 2010[AUTHOR]
276183,Spinocerebellar ataxia type 32,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
2828,Young-onset Parkinson disease,Disease,Point prevalence,15.0,1-5 / 10 000,Value and class,Europe,Validated,ORPHANET_23083512[PMID]
2828,Young-onset Parkinson disease,Disease,Point prevalence,0.0,1-5 / 10 000,Class only,Worldwide,Not yet validated,15172778[PMID]
276238,Machado-Joseph disease type 1,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
276234,Non-syndromic male infertility due to sperm motility disorder,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
638,Neurofibromatosis-Noonan syndrome,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3231,Deafness-onychodystrophy syndrome,Clinical group,Cases/families,50.0,,Case(s),Worldwide,Validated,ORPHANET
3231,Deafness-onychodystrophy syndrome,Clinical group,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
526,Liddle syndrome,Disease,Cases/families,72.0,,Family(ies),Worldwide,Validated,29534496[PMID]_[EXPERT]
526,Liddle syndrome,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
276241,Machado-Joseph disease type 2,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
427,Familial hypoaldosteronism,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
215,Congenital stationary night blindness,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3232,Deafness-ear malformation-facial palsy syndrome,Malformation syndrome,Cases/families,4.0,,Case(s),Worldwide,Validated,6851230[PMID]
3232,Deafness-ear malformation-facial palsy syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_6851230[PMID]
3233,Cochleosaccular degeneration-cataract syndrome,Malformation syndrome,Cases/families,2.0,,Family(ies),Worldwide,Validated,7121157[PMID]_1623624[PMID]
3233,Cochleosaccular degeneration-cataract syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_7121157[PMID]_1623624[PMID]
180,Choroideremia,Disease,Point prevalence,2.0,1-9 / 100 000,Value and class,Europe,Validated,European Medicines Agency 2014[INST]
276280,Hemihyperplasia-multiple lipomatosis syndrome,Malformation syndrome,Cases/families,10.0,,Case(s),Worldwide,Validated,9781913[PMID]_20058713[PMID]_19438675[PMID]_20105568[PMID]
276280,Hemihyperplasia-multiple lipomatosis syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
276399,Familial multinodular goiter,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3239,Deafness-vitiligo-achalasia syndrome,Malformation syndrome,Cases/families,2.0,,Case(s),Worldwide,Validated,5100941[PMID]
3239,Deafness-vitiligo-achalasia syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_5100941[PMID]
183518,Hereditary ataxia,Category,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,22689585[PMID]
3237,Multiple synostoses syndrome,Malformation syndrome,Cases/families,30.0,,Family(ies),Worldwide,Validated,ORPHANET
3237,Multiple synostoses syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
403,Familial hyperaldosteronism type I,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,23610123[PMID]_ORPHANET
276413,10q22.3q23.3 microdeletion syndrome,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
653,Multiple endocrine neoplasia type 2,Disease,Point prevalence,2.9,1-9 / 100 000,Value and class,Europe,Validated,ISBN:9283224167[OTHER]_[EXPERT]
653,Multiple endocrine neoplasia type 2,Disease,Point prevalence,1.25,1-9 / 100 000,Value and class,Germany,Validated,23211574[PMID]
276405,Hyperbiliverdinemia,Disease,Cases/families,2.0,,Case(s),Worldwide,Validated,19580635[PMID]_21278388[PMID]
276405,Hyperbiliverdinemia,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
157,Carnitine palmitoyltransferase II deficiency,Disease,Cases/families,300.0,,Case(s),Worldwide,Validated,ORPHANET
157,Carnitine palmitoyltransferase II deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
157,Carnitine palmitoyltransferase II deficiency,Disease,Prevalence at birth,0.2,1-9 / 1 000 000,Value and class,United States,Validated,22766612[PMID]
157,Carnitine palmitoyltransferase II deficiency,Disease,Point prevalence,1.0,1-9 / 100 000,Value and class,Europe,Validated,European Medicines Agency 2015[INST]
847,X-linked alpha-thalassemia-intellectual disability syndrome,Malformation syndrome,Cases/families,200.0,,Case(s),Worldwide,Validated,20301622[PMID]_16722615[PMID]
847,X-linked alpha-thalassemia-intellectual disability syndrome,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,20301622[PMID]_16722615[PMID]_ORPHANET
3255,Filippi syndrome,Malformation syndrome,Cases/families,29.0,,Case(s),Worldwide,Validated,26813917[PMID]
3255,Filippi syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_26813917[PMID]
183435,Inherited ichthyosis,Category,Point prevalence,1.33,1-9 / 100 000,Value and class,France,Not yet validated,24393603[PMID]
2268,ICF syndrome,Malformation syndrome,Cases/families,66.0,,Case(s),Worldwide,Validated,23486536[PMID]
2268,ICF syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
3253,Cleft lip/palate-ectodermal dysplasia syndrome,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
3253,Cleft lip/palate-ectodermal dysplasia syndrome,Malformation syndrome,Cases/families,50.0,,Case(s),Worldwide,Validated,[EXPERT]
392,Holt-Oram syndrome,Malformation syndrome,Prevalence at birth,0.7,1-9 / 1 000 000,Value and class,Europe,Validated,25344219[PMID]_EUROCAT European surveillance of congenital anomalies 1990-2011[REG]
392,Holt-Oram syndrome,Malformation syndrome,Prevalence at birth,0.95,1-9 / 1 000 000,Value and class,Hungary,Validated,1996196[PMID]_[EXPERT]
392,Holt-Oram syndrome,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3325,Heparin-induced thrombocytopenia,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
243,"46,XX gonadal dysgenesis",Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,8178824[PMID]_16877870[PMID]_ORPHANET
243,"46,XX gonadal dysgenesis",Malformation syndrome,Prevalence at birth,0.0,Unknown,Class only,Worldwide,Validated,8178824[PMID]_16877870[PMID]_ORPHANET
183422,Polymalformative genetic syndrome with increased risk of developing cancer,Category,Point prevalence,10.0,1-5 / 10 000,Value and class,Europe,Validated,[EXPERT]
136,Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,Disease,Point prevalence,3.0,1-9 / 100 000,Value and class,Europe,Validated,12146805[PMID]_15834040[PMID]_22422895[PMID]_[EXPERT]_ORPHANET
136,Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,Disease,Point prevalence,2.0,1-9 / 100 000,Value and class,United Kingdom,Validated,22422895[PMID]_15834040[PMID]_ [EXPERT]
136,Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,Disease,Point prevalence,3.0,1-9 / 100 000,Value and class,Finland,Validated,12146805[PMID]_[EXPERT]_ ORPHANET
182114,Rare urogenital tumor,Category,Annual incidence,0.13,1-9 / 1 000 000,Value and class,Europe,Not yet validated,22425262[PMID]
182114,Rare urogenital tumor,Category,Annual incidence,0.21,1-9 / 1 000 000,Value and class,United States,Validated,22425262[PMID]
48,Congenital bilateral absence of vas deferens,Morphological anomaly,Point prevalence,50.0,1-5 / 10 000,Value and class,Europe,Not yet validated,ORPHANET
424,Familial hyperthyroidism due to mutations in TSH receptor,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
424,Familial hyperthyroidism due to mutations in TSH receptor,Disease,Cases/families,28.0,,Family(ies),Worldwide,Validated,[EXPERT]
325,Congenital factor II deficiency,Disease,Point prevalence,0.05,<1 / 1 000 000,Value and class,Europe,Validated,10595621[PMID]
343,Hyperimmunoglobulinemia D with periodic fever,Clinical subtype,Cases/families,200.0,,Case(s),Worldwide,Validated,ORPHANET
343,Hyperimmunoglobulinemia D with periodic fever,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
572,Immunodeficiency by defective expression of MHC class II,Disease,Cases/families,179.0,,Case(s),Worldwide,Validated,27510876[PMID]
572,Immunodeficiency by defective expression of MHC class II,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET_27510876[PMID]
1930,Herpes simplex virus encephalitis,Disease,Annual incidence,0.3,1-9 / 1 000 000,Value and class,Worldwide,Validated,16675036[PMID]
1930,Herpes simplex virus encephalitis,Disease,Annual incidence,0.3,1-9 / 1 000 000,Value and class,United Kingdom,Validated,20657024[PMID]
1930,Herpes simplex virus encephalitis,Disease,Annual incidence,0.3,1-9 / 1 000 000,Value and class,United States,Validated,16675036[PMID]
1930,Herpes simplex virus encephalitis,Disease,Point prevalence,0.0,Unknown,Class only,Europe,Not yet validated,ORPHANET
158,Systemic primary carnitine deficiency,Disease,Prevalence at birth,3.2,1-9 / 100 000,Value and class,Europe,Validated,22989098[PMID]
158,Systemic primary carnitine deficiency,Disease,Prevalence at birth,3.2,1-9 / 100 000,Value and class,United States,Validated,22989098[PMID]
158,Systemic primary carnitine deficiency,Disease,Prevalence at birth,2.5,1-9 / 100 000,Value and class,Japan,Validated,10545605[PMID]
158,Systemic primary carnitine deficiency,Disease,Prevalence at birth,0.83,1-9 / 1 000 000,Value and class,Australia,Validated,12788994[PMID]
158,Systemic primary carnitine deficiency,Disease,Point prevalence,77.0,6-9 / 10 000,Value and class,Faroe Islands,Validated,17417720[PMID]
158,Systemic primary carnitine deficiency,Disease,Annual incidence,138.9,>1 / 1000,Value and class,Faroe Islands,Validated,17417720[PMID]
158,Systemic primary carnitine deficiency,Disease,Point prevalence,0.0069,<1 / 1 000 000,Value and class,China,Validated,34103049[PMID]
2056,Essential fructosuria,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
206436,Infantile Krabbe disease,Clinical subtype,Annual incidence,0.254,1-9 / 1 000 000,Value and class,United States,Validated,26795590[PMID]
206436,Infantile Krabbe disease,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET_29391017[PMID]
1344,Atrial standstill,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
206428,Hypoxanthine-guanine phosphoribosyltransferase deficiency,Clinical group,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
3103,Roberts syndrome,Malformation syndrome,Cases/families,150.0,,Case(s),Worldwide,Validated,20301332[PMID]
3103,Roberts syndrome,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET_20301332[PMID]
832,Succinyl-CoA:3-oxoacid CoA transferase deficiency,Disease,Cases/families,32.0,,Case(s),Worldwide,Validated,[EXPERT]
832,Succinyl-CoA:3-oxoacid CoA transferase deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_[EXPERT]
6,3-methylcrotonyl-CoA carboxylase deficiency,Disease,Prevalence at birth,2.65,1-9 / 100 000,Value and class,Europe,Validated,[EXPERT]
6,3-methylcrotonyl-CoA carboxylase deficiency,Disease,Prevalence at birth,1.9,1-9 / 100 000,Value and class,United States,Validated,12872837[PMID]
6,3-methylcrotonyl-CoA carboxylase deficiency,Disease,Prevalence at birth,3.3,1-9 / 100 000,Value and class,Germany,Validated,11170888[PMID]
6,3-methylcrotonyl-CoA carboxylase deficiency,Disease,Prevalence at birth,1.36,1-9 / 100 000,Value and class,"Taiwan, Province of China",Validated,20567911[PMID]
6,3-methylcrotonyl-CoA carboxylase deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
6,3-methylcrotonyl-CoA carboxylase deficiency,Disease,Point prevalence,0.0,1-9 / 100 000,Class only,Europe,Not yet validated,ORPHANET
888,Van der Woude syndrome,Malformation syndrome,Point prevalence,1.7,1-9 / 100 000,Value and class,Finland,Validated,7459520[PMID]
888,Van der Woude syndrome,Malformation syndrome,Prevalence at birth,1.3,1-9 / 100 000,Value and class,France,Validated,22925539[PMID]
888,Van der Woude syndrome,Malformation syndrome,Point prevalence,0.0,1-9 / 100 000,Class only,France,Validated,22925539[PMID]
888,Van der Woude syndrome,Malformation syndrome,Point prevalence,1.4,1-9 / 100 000,Value and class,Australia,Validated,20415912[PMID]
888,Van der Woude syndrome,Malformation syndrome,Prevalence at birth,0.85,1-9 / 1 000 000,Value and class,"Taiwan, Province of China",Validated,18177185[PMID]_ORPHANET
888,Van der Woude syndrome,Malformation syndrome,Point prevalence,0.0,1-9 / 1 000 000,Class only,"Taiwan, Province of China",Validated,18177185[PMID]_ORPHANET
888,Van der Woude syndrome,Malformation syndrome,Prevalence at birth,0.9,1-9 / 1 000 000,Value and class,United States,Validated,9450872[PMID]
888,Van der Woude syndrome,Malformation syndrome,Point prevalence,0.0,1-9 / 1 000 000,Class only,United States,Validated,9450872[PMID]
888,Van der Woude syndrome,Malformation syndrome,Point prevalence,0.0,1-9 / 100 000,Class only,Europe,Validated,ORPHANET
888,Van der Woude syndrome,Malformation syndrome,Prevalence at birth,0.7,1-9 / 1 000 000,Value and class,Australia,Validated,34626670[PMID]
2831,"Rhizomelic dysplasia, Patterson-Lowry type",Malformation syndrome,Cases/families,5.0,,Case(s),Worldwide,Validated,15103724[PMID]
2831,"Rhizomelic dysplasia, Patterson-Lowry type",Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_15103724[PMID]
1129,Arachnodactyly-abnormal ossification-intellectual disability syndrome,Malformation syndrome,Cases/families,5.0,,Case(s),Worldwide,Validated,8533819[PMID]
1129,Arachnodactyly-abnormal ossification-intellectual disability syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_8533819[PMID]
548,Leprosy,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
548,Leprosy,Disease,Annual incidence,3.7,1-9 / 100 000,Value and class,Worldwide,Validated,[EXPERT]
1383,Cataract-deafness-hypogonadism syndrome,Malformation syndrome,Cases/families,3.0,,Case(s),Worldwide,Validated,8574417[PMID]
1383,Cataract-deafness-hypogonadism syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_8574417[PMID]
206538,Malignant non-dysgerminomatous germ cell tumor of ovary,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
206554,Fukutin-related limb-girdle muscular dystrophy R13,Disease,Cases/families,5.0,,Family(ies),Worldwide,Validated,17878207[PMID]_19342235[PMID]_19179078[PMID]
206554,Fukutin-related limb-girdle muscular dystrophy R13,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_17878207[PMID]_19342235[PMID]_19179078[PMID]
1524,Craniomicromelic syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Europe,Not yet validated,ORPHANET
206549,Anoctamin-5-related limb-girdle muscular dystrophy R12,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET_23670307[PMID]
569,Familial or sporadic hemiplegic migraine,Disease,Point prevalence,10.0,1-5 / 10 000,Value and class,Europe,Validated,[EXPERT]
569,Familial or sporadic hemiplegic migraine,Disease,Point prevalence,10.0,1-5 / 10 000,Value and class,Denmark,Validated,12023326[PMID]
206569,Immune-mediated necrotizing myopathy,Disease,Cases/families,300.0,,Case(s),Worldwide,Validated,[EXPERT]
206569,Immune-mediated necrotizing myopathy,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,[EXPERT]
206580,Autosomal recessive lower motor neuron disease with childhood onset,Disease,Cases/families,5.0,,Case(s),Worldwide,Validated,16728649[PMID]
206580,Autosomal recessive lower motor neuron disease with childhood onset,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_16728649[PMID]
3439,Von Voss-Cherstvoy syndrome,Malformation syndrome,Cases/families,10.0,,Case(s),Worldwide,Validated,DOI:10.2147/IMCRJ.S108746[OTHER]
3439,Von Voss-Cherstvoy syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_DOI:10.2147/IMCRJ.S108746[OTHER]
1217,Spinal atrophy-ophthalmoplegia-pyramidal syndrome,Disease,Cases/families,2.0,,Case(s),Worldwide,Validated,8068160[PMID]
1217,Spinal atrophy-ophthalmoplegia-pyramidal syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_8068160[PMID]
2680,Hypomyelination neuropathy-arthrogryposis syndrome,Malformation syndrome,Cases/families,9.0,,Case(s),Worldwide,Validated,24319099[PMID]
2680,Hypomyelination neuropathy-arthrogryposis syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24319099[PMID]
1681,Diprosopus,Morphological anomaly,Cases/families,33.0,,Case(s),Worldwide,Validated,27704687[PMID]
1681,Diprosopus,Morphological anomaly,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_27704687[PMID]
1681,Diprosopus,Morphological anomaly,Prevalence at birth,0.2,1-9 / 1 000 000,Value and class,Argentina,Validated,27704687[PMID]
1655,Müllerian derivatives-lymphangiectasia-polydactyly syndrome,Malformation syndrome,Cases/families,8.0,,Case(s),Worldwide,Validated,8256813[PMID]_11746031[PMID]_11746030[PMID]
1655,Müllerian derivatives-lymphangiectasia-polydactyly syndrome,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_8256813[PMID]_11746031[PMID]_11746030[PMID]
633,Laron syndrome,Disease,Point prevalence,0.3,1-9 / 1 000 000,Value and class,Europe,Validated,European Medicines Agency 2003[INST]
633,Laron syndrome,Disease,Point prevalence,4.86,1-9 / 100 000,Value and class,China,Validated,34103049[PMID]
478,Kallmann syndrome,Clinical subtype,Point prevalence,3.75,1-9 / 100 000,Value and class,Europe,Validated,[EXPERT]
478,Kallmann syndrome,Clinical subtype,Annual incidence,5.0,1-9 / 100 000,Value and class,France,Validated,4147392[PMID]
478,Kallmann syndrome,Clinical subtype,Annual incidence,2.1,1-9 / 100 000,Value and class,Finland,Validated,21682876[PMID]
478,Kallmann syndrome,Clinical subtype,Annual incidence,0.6,1-9 / 1 000 000,Value and class,Specific population,Validated,3791676[PMID]
240,Léri-Weill dyschondrosteosis,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,[EXPERT]
2311,Autosomal recessive spondylocostal dysostosis,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
358,Gitelman syndrome,Disease,Point prevalence,2.5,1-9 / 100 000,Value and class,Europe,Not yet validated,ORPHANET
242,"46,XY complete gonadal dysgenesis",Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,18410658[PMID]_27603905[PMID]_ORPHANET
242,"46,XY complete gonadal dysgenesis",Malformation syndrome,Prevalence at birth,0.0,Unknown,Class only,Worldwide,Validated,18410658[PMID]_27603905[PMID]_ORPHANET
2052,Fraser syndrome,Malformation syndrome,Prevalence at birth,0.2,1-9 / 1 000 000,Value and class,Europe,Validated,23532946[PMID]_EUROCAT European surveillance of congenital anomalies[REG]
2052,Fraser syndrome,Malformation syndrome,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
2052,Fraser syndrome,Malformation syndrome,Prevalence at birth,0.43,1-9 / 1 000 000,Value and class,Spain,Validated,9662850[PMID]
1354,Heart defects-limb shortening syndrome,Malformation syndrome,Cases/families,2.0,,Case(s),Worldwide,Validated,2074559[PMID]
